//1.1
爸爸	bàba	아버지	father
妈妈	māma	어머니	mother
弟弟	dìdi	남동생	younger brother
妹妹	mèimei	여동생	younger sister
姐姐	jiějie	누나/언니	older sister
哥哥	gēge	형/오빠	older brother
奶奶	nǎinai	할머니	grand mother
爷爷	yéye	할아버지	grand father
你	nǐ	너, 당신	you
好	hǎo	좋다, 안녕하다	good
您	nín	你의 존칭표현	sir
你们	nǐmen	너희들, 당신들	yours
再见	zàijiàn	또 뵙겠습니다	see you
老师	lǎoshī	선생님	teacher
大家	dàjiā	모두, 여러분	everybody
谢谢	xièxie	감사합니다, 고맙습니다	thanks
不客气	bú kèqi	천만에요, 별말씀을요	you're welcome
不谢	bú xiè	천만에요, 별말씀을요	you're welcome
对不起	duìbuqǐ	미안합니다	sorry
没关系	méi guānxi	괜찮다, 문제없다	no problem
//1.2
他	tā	그	he
是	shì	~이다	is, be
谁	shéi	누구	who
她	tā	그녀	she
我	wǒ	나,저	I
大学生	dàxuéshēng	대학생	university student
吗	ma	의문 어기조사	this word makes interrogative sentence
不	bù	아니다	not
高中生	gāozhōngshēng	고등학생	high school student
医生	yīshēng	의사	medical doctor
老板	lǎobǎn	사장님	owner, employer
公司	gōngsī	회사	company
职员	zhíyuán	직원	employee
空姐	kōngjiě	스튜어디스	flight attendant
//1.3
什么	shénme	무엇	what
词典	cídiǎn	사전	dictionary
这	zhè	이,이것	this
这个	zhège	이,이것	this, this thing
这些	zhèxiē	이것들	those
那	nà	그,저,그것,저것	that
那个	nàge	그,저,그것,저것	that, that thing
那些	nàxiē	그것들,저것들	that things
哪	nǎ	어느,어느 것	which
哪个	nǎge	어느 것	which one
哪些	nǎxiē	어떤 것들	which ones
也	yě	~도, 또한	also, too
都	dōu	모두, 다	all
是	shì	예, 그렇습니다	yes
咖啡	kāfēi	커피	coffee
牛奶	niúnǎi	우유	milk
报纸	bàozhǐ	신문	newspaper
汉语	Hànyǔ	중국어	Chinese Language
书	shū	책	book
手机	shǒujī	휴대폰	cellphone
手表	shǒubiǎo	손목시계	wristwatch
//1.4
吃	chī	먹다	eat
汉堡	hànbǎo	햄버거	hamburger
喝	hē	마시다	drink
可乐	kělè	콜라	coke
米饭	mǐfàn	쌀밥	rice
面包	miànbāo	빵	bread
看	kàn	보다	look
买	mǎi	사다, 구입하다	buy
水果	shuǐguǒ	과일	fruit
衣服	yīfu	옷,의복	clothes
//1.5
很	hěn	매우	very
西瓜	xīguā	수박	water melon
苹果	píngguǒ	사과	apple
鸡蛋	jīdàn	달걀	chicken egg
电视	diànshì	텔레비전	television
果汁儿	guǒzhīr	과일주스	juice
大	dà	크다	big
小	xiǎo	작다	small
多	duō	많다	many, much
少	shǎo	적다	few, little
贵	guì	비싸다	expensive
便宜	piányi	싸다	cheap
热	rè	뜨겁다,덥다	hot
冷	lěng	차다,춥다	cold
高	gāo	높다	high
低	dī	낮다	low
长	cháng	길다	long
短	duǎn	짧다	short
远	yuǎn	멀다	far
近	jìn	가깝다	near
快	kuài	빠르다	fast
慢	màn	느리다	slow
早	zǎo	이르다	early
晚	wǎn	늦다	late
好	hǎo	좋다	good
坏	huài	나쁘다	bad
//1.6
的	de	~의,~의 것	of
帽子	màozi	모자	hat
口红	kǒuhóng	립스틱	lipstick
笔	bǐ	붓,필기구	brush
皮鞋	píxié	구두	shoes
袜子	wàzi	양말	socks
书包	shūbāo	책가방	backpack
电脑	diànnǎo	컴퓨터	computer
//1.7
好喝	hǎohē	(음료가)맛있다	delicious (for drink)
茶	chá	차	tea
红茶	hóngchá	홍차	red tea
